,sample_id,query,expectedEntityAnnotation,expectedEntitySimpleFormat
3458,24403,"Hello, Dave. Hope everything is going well. I am reaching out to you to ask if you could please confirm whether or not you received my email? I've emailed you the documentation for my vehicle insurance application. For your information, my social security number is 858-93-3677 and my driver's license number is G98909894. I sent you the email quite sometime ago, and haven't heard back from you since, so I was wondering if you received it. Please let me know and also if the information I've provided suffices. Thank you.","{""utterances"": [{""utterance"": ""Hello, Dave. Hope everything is going well. I am reaching out to you to ask if you could please confirm whether or not you received my email? I've emailed you the documentation for my vehicle insurance application. For your information, my social security number is 858-93-3677 and my driver's license number is G98909894. I sent you the email quite sometime ago, and haven't heard back from you since, so I was wondering if you received it. Please let me know and also if the information I've provided suffices. Thank you."", ""entityMatches"": [{""beginOffset"": 7, ""endOffset"": 11, ""originalString"": ""Dave"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Dave"", ""name"": ""Dave"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 266, ""endOffset"": 277, ""originalString"": ""858-93-3677"", ""matchedEntities"": [{""entityName"": ""SSN_PII"", ""score"": 1.0, ""value"": {""originalString"": ""858-93-3677"", ""name"": ""858-93-3677"", ""entityName"": ""SSN_PII""}}]}, {""beginOffset"": 312, ""endOffset"": 321, ""originalString"": ""G98909894"", ""matchedEntities"": [{""entityName"": ""DRIVER_ID_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""G98909894"", ""name"": ""G98909894"", ""entityName"": ""DRIVER_ID_US_PII""}}]}]}]}","PERSON_PII: Dave
SSN_PII: 858-93-3677
DRIVER_ID_US_PII: G98909894"
1577,16668,"The history of my life: My brother in law is 78 years old  and he suffers from dementia and he wants to live by himself. We called the police because as a foreign citizen, the Spanish embassy needs to be aware of the situation. I gave them his SSN, which is 530-80-8045, and I have all his documents because he can´t manage money or anything valuable. The embassy asked me for the passport, which is 578758784, and validated my sister´s phone abroad, which is (220) 478-2354. We called my sister in Spain but she refuses to take care of him.","{""utterances"": [{""utterance"": ""The history of my life: My brother in law is 78 years old  and he suffers from dementia and he wants to live by himself. We called the police because as a foreign citizen, the Spanish embassy needs to be aware of the situation. I gave them his SSN, which is 530-80-8045, and I have all his documents because he can\u00b4t manage money or anything valuable. The embassy asked me for the passport, which is 578758784, and validated my sister\u00b4s phone abroad, which is (220) 478-2354. We called my sister in Spain but she refuses to take care of him."", ""entityMatches"": [{""beginOffset"": 45, ""endOffset"": 53, ""originalString"": ""78 years"", ""matchedEntities"": [{""entityName"": ""AGE_PII"", ""score"": 1.0, ""value"": {""originalString"": ""78 years"", ""name"": ""78 years"", ""entityName"": ""AGE_PII""}}]}, {""beginOffset"": 258, ""endOffset"": 269, ""originalString"": ""530-80-8045"", ""matchedEntities"": [{""entityName"": ""SSN_PII"", ""score"": 1.0, ""value"": {""originalString"": ""530-80-8045"", ""name"": ""530-80-8045"", ""entityName"": ""SSN_PII""}}]}, {""beginOffset"": 400, ""endOffset"": 409, ""originalString"": ""578758784"", ""matchedEntities"": [{""entityName"": ""PASSPORT_NUMBER_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""578758784"", ""name"": ""578758784"", ""entityName"": ""PASSPORT_NUMBER_US_PII""}}]}, {""beginOffset"": 460, ""endOffset"": 474, ""originalString"": ""(220) 478-2354"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""(220) 478-2354"", ""name"": ""(220) 478-2354"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}]}]}","AGE_PII: 78 years
SSN_PII: 530-80-8045
PASSPORT_NUMBER_US_PII: 578758784
TELEPHONE_NUMBER_PII: (220) 478-2354"
3104,23155,"Oh my gosh! I forgot my passport!
 But I thing I took a picture of my passport number, it's 7835783678","{""utterances"": [{""utterance"": ""Oh my gosh! I forgot my passport!\n But I thing I took a picture of my passport number, it's 7835783678"", ""entityMatches"": [{""beginOffset"": 92, ""endOffset"": 102, ""originalString"": ""7835783678"", ""matchedEntities"": [{""entityName"": ""PASSPORT_NUMBER_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""7835783678"", ""name"": ""7835783678"", ""entityName"": ""PASSPORT_NUMBER_US_PII""}}]}]}]}",PASSPORT_NUMBER_US_PII: 7835783678
1722,16816,Earnie wrote a check for $120 out of his account 16101392 to pay for his son's algebra tutor this week. His son was doing so much better since the tutor started working with him. It was worth every dime.,"{""utterances"": [{""utterance"": ""Earnie wrote a check for $120 out of his account 16101392 to pay for his son's algebra tutor this week. His son was doing so much better since the tutor started working with him. It was worth every dime."", ""entityMatches"": [{""beginOffset"": 0, ""endOffset"": 6, ""originalString"": ""Earnie"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Earnie"", ""name"": ""Earnie"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 49, ""endOffset"": 57, ""originalString"": ""16101392"", ""matchedEntities"": [{""entityName"": ""BANK_ACCOUNT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""16101392"", ""name"": ""16101392"", ""entityName"": ""BANK_ACCOUNT_NUMBER_PII""}}]}, {""beginOffset"": 93, ""endOffset"": 102, ""originalString"": ""this week"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""this week"", ""name"": ""this week"", ""entityName"": ""DATE_TIME_PII""}}]}]}]}","PERSON_PII: Earnie
BANK_ACCOUNT_NUMBER_PII: 16101392
DATE_TIME_PII: this week"
165,12255,"Hi, Roxy here, my passport number is 4787287898. I am going for a tour out of the country , can you please tell me what legal documentation I need for that?","{""utterances"": [{""utterance"": ""Hi, Roxy here, my passport number is 4787287898. I am going for a tour out of the country , can you please tell me what legal documentation I need for that?"", ""entityMatches"": [{""beginOffset"": 4, ""endOffset"": 8, ""originalString"": ""Roxy"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Roxy"", ""name"": ""Roxy"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 37, ""endOffset"": 47, ""originalString"": ""4787287898"", ""matchedEntities"": [{""entityName"": ""PASSPORT_NUMBER_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""4787287898"", ""name"": ""4787287898"", ""entityName"": ""PASSPORT_NUMBER_US_PII""}}]}]}]}","PERSON_PII: Roxy
PASSPORT_NUMBER_US_PII: 4787287898"
1060,16125,"Hi Randy , I have received a pizza from your shop but it is all damaged , give me a call on this number (505) 500-8877 as I am not planning on paying for this mess.","{""utterances"": [{""utterance"": ""Hi Randy , I have received a pizza from your shop but it is all damaged , give me a call on this number (505) 500-8877 as I am not planning on paying for this mess."", ""entityMatches"": [{""beginOffset"": 3, ""endOffset"": 8, ""originalString"": ""Randy"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Randy"", ""name"": ""Randy"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 104, ""endOffset"": 118, ""originalString"": ""(505) 500-8877"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""(505) 500-8877"", ""name"": ""(505) 500-8877"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}]}]}","PERSON_PII: Randy
TELEPHONE_NUMBER_PII: (505) 500-8877"
2094,17225,"John, can you please check if Michael's car is already in the parking lot it is color red and the plate number is LPH3562. Thank you.","{""utterances"": [{""utterance"": ""John, can you please check if Michael's car is already in the parking lot it is color red and the plate number is LPH3562. Thank you."", ""entityMatches"": [{""beginOffset"": 0, ""endOffset"": 4, ""originalString"": ""John"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""John"", ""name"": ""John"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 30, ""endOffset"": 37, ""originalString"": ""Michael"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Michael"", ""name"": ""Michael"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 114, ""endOffset"": 121, ""originalString"": ""LPH3562"", ""matchedEntities"": [{""entityName"": ""LICENSE_PLATE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""LPH3562"", ""name"": ""LPH3562"", ""entityName"": ""LICENSE_PLATE_NUMBER_PII""}}]}]}]}","PERSON_PII: John
PERSON_PII: Michael
LICENSE_PLATE_NUMBER_PII: LPH3562"
1990,17105,"I decided that I am sending my kindergarten daughter to private school next year. Is there any way that I can just go ahead and set up automatic payments for that? My bank account number is 53428972, and the routing number is 94467638.","{""utterances"": [{""utterance"": ""I decided that I am sending my kindergarten daughter to private school next year. Is there any way that I can just go ahead and set up automatic payments for that? My bank account number is 53428972, and the routing number is 94467638."", ""entityMatches"": [{""beginOffset"": 71, ""endOffset"": 80, ""originalString"": ""next year"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""next year"", ""name"": ""next year"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 190, ""endOffset"": 198, ""originalString"": ""53428972"", ""matchedEntities"": [{""entityName"": ""BANK_ACCOUNT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""53428972"", ""name"": ""53428972"", ""entityName"": ""BANK_ACCOUNT_NUMBER_PII""}}]}, {""beginOffset"": 226, ""endOffset"": 234, ""originalString"": ""94467638"", ""matchedEntities"": [{""entityName"": ""BANK_ROUTING_PII"", ""score"": 1.0, ""value"": {""originalString"": ""94467638"", ""name"": ""94467638"", ""entityName"": ""BANK_ROUTING_PII""}}]}]}]}","DATE_TIME_PII: next year
BANK_ACCOUNT_NUMBER_PII: 53428972
BANK_ROUTING_PII: 94467638"
1658,16749,"Rebecca, I was looking at your information and your social security number, 530-80-8045. It seems that you still have the process open. Based on my experience, the IRS cannot complete an investigation of your offer due to a pending examination or claim. The offer may be returned and any payments and application fees submitted will not be refunded. 
 
 Let me know if you have another question. You can email me directly at info@email.com or call me at 220-478-2354. If you reply back to this email it will go directly to our firm mailbox.","{""utterances"": [{""utterance"": ""Rebecca, I was looking at your information and your social security number, 530-80-8045. It seems that you still have the process open. Based on my experience, the IRS cannot complete an investigation of your offer due to a pending examination or claim. The offer may be returned and any payments and application fees submitted will not be refunded. \n \n Let me know if you have another question. You can email me directly at info@email.com or call me at 220-478-2354. If you reply back to this email it will go directly to our firm mailbox."", ""entityMatches"": [{""beginOffset"": 0, ""endOffset"": 7, ""originalString"": ""Rebecca"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Rebecca"", ""name"": ""Rebecca"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 76, ""endOffset"": 87, ""originalString"": ""530-80-8045"", ""matchedEntities"": [{""entityName"": ""SSN_PII"", ""score"": 1.0, ""value"": {""originalString"": ""530-80-8045"", ""name"": ""530-80-8045"", ""entityName"": ""SSN_PII""}}]}, {""beginOffset"": 425, ""endOffset"": 439, ""originalString"": ""info@email.com"", ""matchedEntities"": [{""entityName"": ""EMAIL_PII"", ""score"": 1.0, ""value"": {""originalString"": ""info@email.com"", ""name"": ""info@email.com"", ""entityName"": ""EMAIL_PII""}}]}, {""beginOffset"": 454, ""endOffset"": 466, ""originalString"": ""220-478-2354"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""220-478-2354"", ""name"": ""220-478-2354"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}]}]}","PERSON_PII: Rebecca
SSN_PII: 530-80-8045
EMAIL_PII: info@email.com
TELEPHONE_NUMBER_PII: 220-478-2354"
3210,23550,My name is Gerald Smith. I'm here to get car insurance and here is my social security number 932-11-1256 and my plate number as well AWC6676.,"{""utterances"": [{""utterance"": ""My name is Gerald Smith. I'm here to get car insurance and here is my social security number 932-11-1256 and my plate number as well AWC6676."", ""entityMatches"": [{""beginOffset"": 11, ""endOffset"": 23, ""originalString"": ""Gerald Smith"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Gerald Smith"", ""name"": ""Gerald Smith"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 93, ""endOffset"": 104, ""originalString"": ""932-11-1256"", ""matchedEntities"": [{""entityName"": ""SSN_PII"", ""score"": 1.0, ""value"": {""originalString"": ""932-11-1256"", ""name"": ""932-11-1256"", ""entityName"": ""SSN_PII""}}]}, {""beginOffset"": 133, ""endOffset"": 140, ""originalString"": ""AWC6676"", ""matchedEntities"": [{""entityName"": ""LICENSE_PLATE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""AWC6676"", ""name"": ""AWC6676"", ""entityName"": ""LICENSE_PLATE_NUMBER_PII""}}]}]}]}","PERSON_PII: Gerald Smith
SSN_PII: 932-11-1256
LICENSE_PLATE_NUMBER_PII: AWC6676"
3399,24244,I had to submit my driver's license with ID number Y478735672457 to claim my casino winnings when the Kansas Jayhawks won the NCAA basketball tournament last April 5.,"{""utterances"": [{""utterance"": ""I had to submit my driver's license with ID number Y478735672457 to claim my casino winnings when the Kansas Jayhawks won the NCAA basketball tournament last April 5."", ""entityMatches"": [{""beginOffset"": 51, ""endOffset"": 64, ""originalString"": ""Y478735672457"", ""matchedEntities"": [{""entityName"": ""DRIVER_ID_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Y478735672457"", ""name"": ""Y478735672457"", ""entityName"": ""DRIVER_ID_US_PII""}}]}, {""beginOffset"": 153, ""endOffset"": 165, ""originalString"": ""last April 5"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""last April 5"", ""name"": ""last April 5"", ""entityName"": ""DATE_TIME_PII""}}]}]}]}","DRIVER_ID_US_PII: Y478735672457
DATE_TIME_PII: last April 5"
1242,16308,"The bartender took a look at the driver's license with ID number Y478735672457 that the girl gave him, and quickly realized that it was not her in the picture.","{""utterances"": [{""utterance"": ""The bartender took a look at the driver's license with ID number Y478735672457 that the girl gave him, and quickly realized that it was not her in the picture."", ""entityMatches"": [{""beginOffset"": 65, ""endOffset"": 78, ""originalString"": ""Y478735672457"", ""matchedEntities"": [{""entityName"": ""DRIVER_ID_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Y478735672457"", ""name"": ""Y478735672457"", ""entityName"": ""DRIVER_ID_US_PII""}}]}]}]}",DRIVER_ID_US_PII: Y478735672457
1952,17066,"Ok Nick, I got your order ready. It looks like you ordered 2 cases of beer, 1 bottle of rum and 2 packs of cigarettes, was that all? Do you want to add anything else? Ok, I have your card still on file, it looks like it's the Master Card with number 3477-6345-8231-8094. Also, can you verify the expiration date, I have FEB/23 in. my records. Oh and lastly, I need your ID number again in order to complete the purchase. I know you're over 21 years old but the system won't let me complete the purchase unless I have that number. R47835676? Awesome, you're all set and can come pick it on your way home from work. ","{""utterances"": [{""utterance"": ""Ok Nick, I got your order ready. It looks like you ordered 2 cases of beer, 1 bottle of rum and 2 packs of cigarettes, was that all? Do you want to add anything else? Ok, I have your card still on file, it looks like it's the Master Card with number 3477-6345-8231-8094. Also, can you verify the expiration date, I have FEB/23 in. my records. Oh and lastly, I need your ID number again in order to complete the purchase. I know you're over 21 years old but the system won't let me complete the purchase unless I have that number. R47835676? Awesome, you're all set and can come pick it on your way home from work. "", ""entityMatches"": [{""beginOffset"": 3, ""endOffset"": 7, ""originalString"": ""Nick"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Nick"", ""name"": ""Nick"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 250, ""endOffset"": 269, ""originalString"": ""3477-6345-8231-8094"", ""matchedEntities"": [{""entityName"": ""CREDIT_DEBIT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""3477-6345-8231-8094"", ""name"": ""3477-6345-8231-8094"", ""entityName"": ""CREDIT_DEBIT_NUMBER_PII""}}]}, {""beginOffset"": 320, ""endOffset"": 326, ""originalString"": ""FEB/23"", ""matchedEntities"": [{""entityName"": ""CREDIT_DEBIT_EXPIRY_PII"", ""score"": 1.0, ""value"": {""originalString"": ""FEB/23"", ""name"": ""FEB/23"", ""entityName"": ""CREDIT_DEBIT_EXPIRY_PII""}}]}, {""beginOffset"": 440, ""endOffset"": 448, ""originalString"": ""21 years"", ""matchedEntities"": [{""entityName"": ""AGE_PII"", ""score"": 1.0, ""value"": {""originalString"": ""21 years"", ""name"": ""21 years"", ""entityName"": ""AGE_PII""}}]}, {""beginOffset"": 530, ""endOffset"": 539, ""originalString"": ""R47835676"", ""matchedEntities"": [{""entityName"": ""DRIVER_ID_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""R47835676"", ""name"": ""R47835676"", ""entityName"": ""DRIVER_ID_US_PII""}}]}]}]}","PERSON_PII: Nick
CREDIT_DEBIT_NUMBER_PII: 3477-6345-8231-8094
CREDIT_DEBIT_EXPIRY_PII: FEB/23
AGE_PII: 21 years
DRIVER_ID_US_PII: R47835676"
