,sample_id,query,expectedEntityAnnotation,expectedEntitySimpleFormat
1577,23920,"Angie said to the person in front of her, ""890-66-3671 is my social security."" She was patiently awaiting because today is the day she has been waiting: the day she will get her first brand new car. The staff handed her the documents and the key to her new car after a few hours of waiting.","{""utterances"": [{""utterance"": ""Angie said to the person in front of her, \""890-66-3671 is my social security.\"" She was patiently awaiting because today is the day she has been waiting: the day she will get her first brand new car. The staff handed her the documents and the key to her new car after a few hours of waiting."", ""entityMatches"": [{""beginOffset"": 0, ""endOffset"": 5, ""originalString"": ""Angie"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Angie"", ""name"": ""Angie"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 43, ""endOffset"": 54, ""originalString"": ""890-66-3671"", ""matchedEntities"": [{""entityName"": ""SSN_PII"", ""score"": 1.0, ""value"": {""originalString"": ""890-66-3671"", ""name"": ""890-66-3671"", ""entityName"": ""SSN_PII""}}]}, {""beginOffset"": 114, ""endOffset"": 130, ""originalString"": ""today is the day"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""today is the day"", ""name"": ""today is the day"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 157, ""endOffset"": 160, ""originalString"": ""day"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""day"", ""name"": ""day"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 269, ""endOffset"": 278, ""originalString"": ""few hours"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""few hours"", ""name"": ""few hours"", ""entityName"": ""DATE_TIME_PII""}}]}]}]}","PERSON_PII: Angie
SSN_PII: 890-66-3671
DATE_TIME_PII: today is the day
DATE_TIME_PII: day
DATE_TIME_PII: few hours"
1722,23474,"If you have tax issues, please call us at (582) 488-2543 Oorcome over to our law firm on Cherry Street and we will help you. It's a huge yellow building at the end of the road.","{""utterances"": [{""utterance"": ""If you have tax issues, please call us at (582) 488-2543 Oorcome over to our law firm on Cherry Street and we will help you. It's a huge yellow building at the end of the road."", ""entityMatches"": [{""beginOffset"": 42, ""endOffset"": 56, ""originalString"": ""(582) 488-2543"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""(582) 488-2543"", ""name"": ""(582) 488-2543"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}, {""beginOffset"": 89, ""endOffset"": 102, ""originalString"": ""Cherry Street"", ""matchedEntities"": [{""entityName"": ""ADDRESS_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Cherry Street"", ""name"": ""Cherry Street"", ""entityName"": ""ADDRESS_PII""}}]}]}]}","TELEPHONE_NUMBER_PII: (582) 488-2543
ADDRESS_PII: Cherry Street"
165,23539,"Hi, Allison. We apologize for the inconvenience. The Uber driver that you have booked has been reprimanded and the charges to your card 7960 have been reversed, We are also crediting you with an extra ride to make up for the inconvenience.","{""utterances"": [{""utterance"": ""Hi, Allison. We apologize for the inconvenience. The Uber driver that you have booked has been reprimanded and the charges to your card 7960 have been reversed, We are also crediting you with an extra ride to make up for the inconvenience."", ""entityMatches"": [{""beginOffset"": 4, ""endOffset"": 11, ""originalString"": ""Allison"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Allison"", ""name"": ""Allison"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 136, ""endOffset"": 140, ""originalString"": ""7960"", ""matchedEntities"": [{""entityName"": ""CREDIT_DEBIT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""7960"", ""name"": ""7960"", ""entityName"": ""CREDIT_DEBIT_NUMBER_PII""}}]}]}]}","PERSON_PII: Allison
CREDIT_DEBIT_NUMBER_PII: 7960"
1060,25337,"Tony forgot that his Chase Visa credit card had an expiry of May 24 so he had to use a debit card to pay for his groceries. He was crossing his fingers for it to go through because he didn't actually remembered if it had sufficient funds to cover for the items purchased, but fortunately it did. ","{""utterances"": [{""utterance"": ""Tony forgot that his Chase Visa credit card had an expiry of May 24 so he had to use a debit card to pay for his groceries. He was crossing his fingers for it to go through because he didn't actually remembered if it had sufficient funds to cover for the items purchased, but fortunately it did. "", ""entityMatches"": [{""beginOffset"": 0, ""endOffset"": 4, ""originalString"": ""Tony"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Tony"", ""name"": ""Tony"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 61, ""endOffset"": 67, ""originalString"": ""May 24"", ""matchedEntities"": [{""entityName"": ""CREDIT_DEBIT_EXPIRY_PII"", ""score"": 1.0, ""value"": {""originalString"": ""May 24"", ""name"": ""May 24"", ""entityName"": ""CREDIT_DEBIT_EXPIRY_PII""}}]}]}]}","PERSON_PII: Tony
CREDIT_DEBIT_EXPIRY_PII: May 24"
2094,22164,I'd like to confirm that you wish to switch your current bank account number to your new one. The new bank account number is 86918937.,"{""utterances"": [{""utterance"": ""I'd like to confirm that you wish to switch your current bank account number to your new one. The new bank account number is 86918937."", ""entityMatches"": [{""beginOffset"": 125, ""endOffset"": 133, ""originalString"": ""86918937"", ""matchedEntities"": [{""entityName"": ""BANK_ACCOUNT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""86918937"", ""name"": ""86918937"", ""entityName"": ""BANK_ACCOUNT_NUMBER_PII""}}]}]}]}",BANK_ACCOUNT_NUMBER_PII: 86918937
1990,22565,"911 what is your emergency?
My baby is not feeling well. He is vomiting and has a very high fever that we can't get to go down. I need an ambulance over here!
With whom am I speaking?
My name is Jeff Hanson. Please, hurry!","{""utterances"": [{""utterance"": ""911 what is your emergency?\nMy baby is not feeling well. He is vomiting and has a very high fever that we can't get to go down. I need an ambulance over here!\nWith whom am I speaking?\nMy name is Jeff Hanson. Please, hurry!"", ""entityMatches"": [{""beginOffset"": 0, ""endOffset"": 3, ""originalString"": ""911"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""911"", ""name"": ""911"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}, {""beginOffset"": 195, ""endOffset"": 206, ""originalString"": ""Jeff Hanson"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Jeff Hanson"", ""name"": ""Jeff Hanson"", ""entityName"": ""PERSON_PII""}}]}]}]}","TELEPHONE_NUMBER_PII: 911
PERSON_PII: Jeff Hanson"
1658,23708,"The team at 8405 6th St Leighton, Alabama 35672 is very forthcoming and professional when it comes to our insurance claims and benefits. One who really stands out is Roberto. She was very polite and informative. She kept us up to date on a regular basis, giving us a peace of mind. Thank you Roberto and your entire team.""","{""utterances"": [{""utterance"": ""The team at 8405 6th St Leighton, Alabama 35672 is very forthcoming and professional when it comes to our insurance claims and benefits. One who really stands out is Roberto. She was very polite and informative. She kept us up to date on a regular basis, giving us a peace of mind. Thank you Roberto and your entire team.\"""", ""entityMatches"": [{""beginOffset"": 12, ""endOffset"": 47, ""originalString"": ""8405 6th St Leighton, Alabama 35672"", ""matchedEntities"": [{""entityName"": ""ADDRESS_PII"", ""score"": 1.0, ""value"": {""originalString"": ""8405 6th St Leighton, Alabama 35672"", ""name"": ""8405 6th St Leighton, Alabama 35672"", ""entityName"": ""ADDRESS_PII""}}]}, {""beginOffset"": 166, ""endOffset"": 173, ""originalString"": ""Roberto"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Roberto"", ""name"": ""Roberto"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 292, ""endOffset"": 299, ""originalString"": ""Roberto"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Roberto"", ""name"": ""Roberto"", ""entityName"": ""PERSON_PII""}}]}]}]}","ADDRESS_PII: 8405 6th St Leighton, Alabama 35672
PERSON_PII: Roberto
PERSON_PII: Roberto"
1242,24860,"You have two bank accounts in our bank, which one you are going to withdraw from 26592674 or 32859654?","{""utterances"": [{""utterance"": ""You have two bank accounts in our bank, which one you are going to withdraw from 26592674 or 32859654?"", ""entityMatches"": [{""beginOffset"": 81, ""endOffset"": 89, ""originalString"": ""26592674"", ""matchedEntities"": [{""entityName"": ""BANK_ACCOUNT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""26592674"", ""name"": ""26592674"", ""entityName"": ""BANK_ACCOUNT_NUMBER_PII""}}]}, {""beginOffset"": 93, ""endOffset"": 101, ""originalString"": ""32859654"", ""matchedEntities"": [{""entityName"": ""BANK_ACCOUNT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""32859654"", ""name"": ""32859654"", ""entityName"": ""BANK_ACCOUNT_NUMBER_PII""}}]}]}]}","BANK_ACCOUNT_NUMBER_PII: 26592674
BANK_ACCOUNT_NUMBER_PII: 32859654"
1952,22796,Our restaurant's telephone number is (215) 774-8899. You can place an order via phone. We have free delivery in the Boston area.,"{""utterances"": [{""utterance"": ""Our restaurant's telephone number is (215) 774-8899. You can place an order via phone. We have free delivery in the Boston area."", ""entityMatches"": [{""beginOffset"": 37, ""endOffset"": 51, ""originalString"": ""(215) 774-8899"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""(215) 774-8899"", ""name"": ""(215) 774-8899"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}]}]}",TELEPHONE_NUMBER_PII: (215) 774-8899
1466,24295,My name is Kenneth Brown. I have an existing account at your bank with the number 53297029. I would like to apply for a credit card.,"{""utterances"": [{""utterance"": ""My name is Kenneth Brown. I have an existing account at your bank with the number 53297029. I would like to apply for a credit card."", ""entityMatches"": [{""beginOffset"": 11, ""endOffset"": 24, ""originalString"": ""Kenneth Brown"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Kenneth Brown"", ""name"": ""Kenneth Brown"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 82, ""endOffset"": 90, ""originalString"": ""53297029"", ""matchedEntities"": [{""entityName"": ""BANK_ACCOUNT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""53297029"", ""name"": ""53297029"", ""entityName"": ""BANK_ACCOUNT_NUMBER_PII""}}]}]}]}","PERSON_PII: Kenneth Brown
BANK_ACCOUNT_NUMBER_PII: 53297029"
